"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"472",2014-11-12,99.915,99.915,99.915,99.915,100,4034
"473",2014-11-11,99.91,99.91,99.91,99.91,1,4034
"474",2014-11-10,99.915,99.915,99.915,99.915,0,4034
"475",2014-11-07,99.915,99.915,99.915,99.915,780,4814
"476",2014-11-06,99.915,99.915,99.915,99.915,2,4816
"477",2014-11-05,99.915,99.915,99.915,99.915,1,4817
"478",2014-11-04,99.91,99.91,99.91,99.91,0,4817
"479",2014-11-03,99.905,99.905,99.905,99.905,0,4817
"480",2014-10-31,99.9,99.9,99.9,99.9,0,4817
"481",2014-10-30,99.89,99.89,99.89,99.895,500,4369
"482",2014-10-29,99.895,99.895,99.895,99.895,0,4369
"483",2014-10-28,99.89,99.89,99.89,99.89,0,4369
"484",2014-10-27,99.89,99.89,99.89,99.89,0,4369
"485",2014-10-24,99.885,99.885,99.885,99.885,0,4369
"486",2014-10-23,99.895,99.895,99.895,99.895,0,4369
"487",2014-10-22,99.895,99.895,99.895,99.895,0,4369
"488",2014-10-21,99.89,99.895,99.89,99.89,30,4349
"489",2014-10-20,99.905,99.905,99.905,99.9,1,4350
"490",2014-10-17,99.895,99.895,99.895,99.895,0,4350
"491",2014-10-16,99.885,99.885,99.88,99.885,26,4350
"492",2014-10-15,99.905,99.905,99.905,99.905,0,4350
"493",2014-10-14,99.905,99.905,99.905,99.91,1007,3909
"494",2014-10-13,99.895,99.895,99.895,99.905,20,3892
"495",2014-10-10,99.91,99.91,99.91,99.91,40,3892
"496",2014-10-09,99.915,99.915,99.915,99.915,15,3892
"497",2014-10-08,99.92,99.92,99.92,99.92,0,3892
"498",2014-10-07,99.915,99.915,99.915,99.92,63,3872
"499",2014-10-06,99.915,99.915,99.915,99.92,25,3852
"500",2014-10-03,99.925,99.925,99.925,99.925,20,3832
"501",2014-10-02,99.925,99.925,99.925,99.93,1,3833
"502",2014-10-01,99.93,99.93,99.93,99.93,0,3833
"503",2014-09-30,99.925,99.925,99.925,99.92,31,3827
"504",2014-09-29,99.92,99.92,99.92,99.92,0,3827
"505",2014-09-26,99.92,99.92,99.92,99.92,27,3820
"506",2014-09-25,99.92,99.92,99.92,99.92,0,3820
"507",2014-09-24,99.91,99.915,99.91,99.915,13,3832
"508",2014-09-23,99.92,99.92,99.92,99.91,3,3832
"509",2014-09-22,99.925,99.925,99.925,99.925,7,3825
"510",2014-09-19,99.925,99.925,99.925,99.925,204,3621
"511",2014-09-18,99.91,99.91,99.91,99.91,0,3621
"512",2014-09-17,99.92,99.92,99.92,99.92,33,3588
"513",2014-09-16,99.92,99.92,99.915,99.91,7,3592
"514",2014-09-15,99.925,99.925,99.92,99.925,262,3648
"515",2014-09-12,99.92,99.92,99.92,99.92,0,4512
"516",2014-09-11,99.92,99.92,99.92,99.92,0,4512
"517",2014-09-10,99.915,99.915,99.915,99.915,0,4512
"518",2014-09-09,99.915,99.915,99.915,99.915,5,4512
"519",2014-09-08,99.92,99.92,99.92,99.92,0,4512
"520",2014-09-05,99.91,99.91,99.91,99.915,75,4548
"521",2014-09-04,99.865,99.87,99.865,99.905,281,4441
"522",2014-09-03,99.865,99.865,99.865,99.865,2032,4554
"523",2014-09-02,99.865,99.865,99.865,99.865,0,4554
"524",2014-09-01,99.865,99.865,99.865,99.865,0,4554
"525",2014-08-29,99.855,99.855,99.855,99.85,41,4554
"526",2014-08-28,99.845,99.845,99.845,99.845,0,4554
"527",2014-08-27,99.85,99.85,99.85,99.845,1,4554
"528",2014-08-26,99.85,99.855,99.845,99.85,59,4554
"529",2014-08-25,99.845,99.845,99.845,99.85,2134,3775
"530",2014-08-22,99.825,99.825,99.825,99.82,25,3800
